iter	Passed	Remaining
1085	10112	83004
1086	10121	82989
1087	10130	82977
1088	10138	82958
1089	10147	82946
1090	10156	82933
1091	10165	82926
1092	10174	82916
1093	10184	82908
1094	10193	82901
1095	10203	82895
1096	10213	82889
1097	10221	82869
1098	10230	82856
1099	10238	82841
1100	10247	82828
1101	10256	82812
1102	10264	82799
1103	10273	82781
1104	10281	82765
1105	10291	82760
1106	10301	82753
1107	10310	82743
1108	10319	82732
1109	10328	82722
1110	10337	82708
1111	10347	82704
1112	10356	82690
1113	10364	82676
1114	10372	82657
1115	10381	82639
1116	10390	82628
1117	10397	82606
1118	10407	82596
1119	10415	82579
1120	10423	82559
1121	10431	82541
1122	10440	82527
1123	10448	82512
1124	10457	82498
1125	10466	82482
1126	10475	82474
1127	10485	82467
1128	10494	82455
1129	10502	82439
1130	10511	82427
1131	10520	82414
1132	10529	82405
1133	10538	82396
1134	10547	82382
1135	10555	82363
1136	10563	82343
1137	10571	82323
1138	10579	82301
1139	10588	82292
1140	10596	82271
1141	10605	82258
1142	10613	82241
1143	10623	82236
1144	10632	82224
1145	10641	82214
1146	10649	82198
1147	10659	82189
1148	10668	82179
1149	10677	82169
1150	10686	82156
1151	10694	82137
1152	10702	82122
1153	10710	82103
1154	10720	82094
1155	10728	82075
1156	10736	82057
1157	10745	82045
1158	10753	82028
1159	10761	82011
1160	10770	81996
1161	10778	81979
1162	10787	81966
1163	10795	81947
1164	10804	81934
1165	10812	81920
1166	10821	81909
1167	10830	81898
1168	10839	81886
1169	10847	81868
1170	10856	81854
1171	10866	81854
1172	10874	81832
1173	10883	81817
1174	10891	81802
1175	10899	81784
1176	10908	81769
1177	10916	81753
1178	10925	81739
1179	10933	81725
1180	10942	81714
1181	10951	81702
1182	10960	81692
1183	10969	81675
1184	10978	81665
1185	10987	81652
1186	10995	81639
1187	11004	81627
1188	11013	81614
1189	11022	81602
1190	11031	81589
1191	11040	81579
1192	11049	81568
1193	11058	81560
1194	11067	81545
